id,formula_id,original,DeMorgan,DeMorgan+MultiI,DNF,diff,DNF+diff,DNF+MultiIU,DNF+MultiIUD,DNF+MultiIUd,original_depth,num_anchor_nodes,pattern_abbr
0,type0000,"(p,(e))","(p,(e))","(p,(e))","(p,(e))","(p,(e))","(p,(e))","(p,(e))","(p,(e))","(p,(e))",1,1,1p
1,type0001,"(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))","(p,(p,(e)))",2,1,2p
2,type0002,"(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))","(p,(p,(p,(e))))",3,1,3p
3,type0003,"(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))","(p,(i,(p,(e)),(p,(e))))",2,2,ip
4,type0005,"(p,(i,(n,(p,(e))),(p,(e))))","(p,(i,(n,(p,(e))),(p,(e))))","(p,(i,(n,(p,(e))),(p,(e))))","(p,(i,(n,(p,(e))),(p,(e))))","(p,(d,(p,(e)),(p,(e))))","(p,(d,(p,(e)),(p,(e))))","(p,(i,(n,(p,(e))),(p,(e))))","(p,(D,(p,(e)),(p,(e))))","(p,(D,(p,(e)),(p,(e))))",2,2,inp
5,type0009,"(p,(u,(p,(e)),(p,(e))))","(p,(n,(i,(n,(p,(e))),(n,(p,(e))))))","(p,(n,(i,(n,(p,(e))),(n,(p,(e))))))","(u,(p,(p,(e))),(p,(p,(e))))","(p,(u,(p,(e)),(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))","(u,(p,(p,(e))),(p,(p,(e))))",2,2,up
6,type0013,"(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))","(i,(p,(e)),(p,(e)))",1,2,2i
7,type0014,"(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))","(i,(p,(e)),(p,(p,(e))))",2,2,pi
8,type0016,"(i,(n,(p,(e))),(p,(e)))","(i,(n,(p,(e))),(p,(e)))","(i,(n,(p,(e))),(p,(e)))","(i,(n,(p,(e))),(p,(e)))","(d,(p,(e)),(p,(e)))","(d,(p,(e)),(p,(e)))","(i,(n,(p,(e))),(p,(e)))","(D,(p,(e)),(p,(e)))","(D,(p,(e)),(p,(e)))",1,2,2in
9,type0017,"(i,(n,(p,(p,(e)))),(p,(e)))","(i,(n,(p,(p,(e)))),(p,(e)))","(i,(n,(p,(p,(e)))),(p,(e)))","(i,(n,(p,(p,(e)))),(p,(e)))","(d,(p,(e)),(p,(p,(e))))","(d,(p,(e)),(p,(p,(e))))","(i,(n,(p,(p,(e)))),(p,(e)))","(D,(p,(e)),(p,(p,(e))))","(D,(p,(e)),(p,(p,(e))))",2,2,pni
10,type0021,"(i,(n,(p,(e))),(p,(p,(e))))","(i,(n,(p,(e))),(p,(p,(e))))","(i,(n,(p,(e))),(p,(p,(e))))","(i,(n,(p,(e))),(p,(p,(e))))","(d,(p,(p,(e))),(p,(e)))","(d,(p,(p,(e))),(p,(e)))","(i,(n,(p,(e))),(p,(p,(e))))","(D,(p,(p,(e))),(p,(e)))","(D,(p,(p,(e))),(p,(e)))",2,2,pin
11,type0028,"(u,(p,(e)),(p,(e)))","(n,(i,(n,(p,(e))),(n,(p,(e)))))","(n,(i,(n,(p,(e))),(n,(p,(e)))))","(u,(p,(e)),(p,(e)))","(u,(p,(e)),(p,(e)))","(u,(p,(e)),(p,(e)))","(u,(p,(e)),(p,(e)))","(u,(p,(e)),(p,(e)))","(u,(p,(e)),(p,(e)))",1,2,2u
12,type0137,"(i,(i,(p,(e)),(p,(e))),(p,(e)))","(i,(i,(p,(e)),(p,(e))),(p,(e)))","(I,(p,(e)),(p,(e)),(p,(e)))","(i,(i,(p,(e)),(p,(e))),(p,(e)))","(i,(i,(p,(e)),(p,(e))),(p,(e)))","(i,(i,(p,(e)),(p,(e))),(p,(e)))","(I,(p,(e)),(p,(e)),(p,(e)))","(I,(p,(e)),(p,(e)),(p,(e)))","(I,(p,(e)),(p,(e)),(p,(e)))",1,3,3i
13,type0140,"(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))","(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))","(I,(n,(p,(e))),(p,(e)),(p,(e)))","(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))","(i,(d,(p,(e)),(p,(e))),(p,(e)))","(i,(d,(p,(e)),(p,(e))),(p,(e)))","(I,(n,(p,(e))),(p,(e)),(p,(e)))","(D,(i,(p,(e)),(p,(e))),(p,(e)))","(D,(i,(p,(e)),(p,(e))),(p,(e)))",1,3,3in